,Day_WBP,Day_NWBP,Total
1,32.944,967.0545568181817,999.9985568181817
2,3.705,44.72264254385964,48.42764254385964
3,0.8076907894736843,3.3096666666666668,4.117357456140351
4,44.712999999999994,1047.1456666666668,1091.8586666666667
5,33.35666666666666,1012.527148809524,1045.8838154761906
6,45.674166666666665,981.3375,1027.0116666666665
7,37.201666666666675,975.1759166666667,1012.3775833333334
8,34.36017698019802,952.0198035714285,986.3799805516265
9,1.7551666666666663,27.288166666666665,29.043333333333333
10,5.188333333333333,24.0635,29.251833333333334
11,30.05766666666667,984.2826401515151,1014.3403068181818
12,40.7665,966.6296666666667,1007.3961666666667
13,41.70033333333334,913.5396666666666,955.2399999999999
14,37.94466666666666,895.7665950434462,933.7112617101128
15,38.247499999999995,877.7000535714286,915.9475535714286
16,1.3563333333333332,29.226499999999998,30.58283333333333
17,6.097166666666666,31.270158312958436,37.3673249796251
18,31.06091666666667,968.457649509804,999.5185661764707
19,36.20675203252033,996.9508361378205,1033.157588170341
20,37.82966666666666,1006.2641506410257,1044.0938173076925
21,21.556083333333333,958.0387722868217,979.5948556201549
22,27.369125,942.3340588987545,969.7031838987546
23,1.1615000000000002,7.632916666666666,8.794416666666667
24,1.0196666666666667,3.8650833333333336,4.88475
25,40.96113235294118,1001.8694931389365,1042.8306254918778
26,45.29916666666667,994.7250000000001,1040.0241666666668
27,37.365833333333335,1000.641223359671,1038.0070566930044
28,43.776556010928964,997.5570101351351,1041.333566146064
29,130.0865,1000.478,1130.5645
30,2.1258333333333335,52.56933333333333,54.695166666666665
31,1.0200000000000002,47.05833333333334,48.07833333333334
32,35.83083333333334,993.2998333333333,1029.1306666666667
33,44.555,1000.7386666666666,1045.2936666666667
34,44.09916666666667,1008.2284593156517,1052.3276259823183
35,40.91716666666666,949.2739257246469,990.1910923913135
36,16.478666666666665,380.26783333333333,396.74649999999997
37,2.566333333333333,25.867666666666672,28.434000000000005
38,37.85333333333334,946.4968333333334,984.3501666666667
39,47.945666666666675,942.8135000000001,990.7591666666667
40,53.51116666666666,938.9895000000001,992.5006666666668
41,53.29983333333333,924.4401666666666,977.74
42,39.56433333333334,952.9205,992.4848333333333
43,23.853,77.31633333333335,101.16933333333336
44,2.7525000000000004,10.9295,13.682000000000002
45,11.616666666666669,49.69383333333333,61.3105
46,37.451499999999996,1030.2520000000002,1067.7035
47,34.8635,1007.107,1041.9705
48,40.54,988.2161666666667,1028.7561666666668
49,53.24916666666667,997.1201666666667,1050.3693333333333
50,2.581666666666667,9.760000000000002,12.341666666666669
51,7.966333333333333,33.51733333333333,41.483666666666664
52,53.86216666666666,1049.3673333333334,1103.2295
53,34.985,1009.4348333333332,1044.4198333333331
54,5.014333333333333,40.925000000000004,45.93933333333334
55,41.59516666666667,1051.4426666666666,1093.0378333333333
56,51.40083333333333,1057.2755000000002,1108.6763333333336
57,16.607000000000003,47.54783333333334,64.15483333333334
58,8.317666666666668,52.25466666666667,60.57233333333334
59,44.13916666666667,1048.8201666666666,1092.9593333333332
60,35.61416666666666,993.4453333333332,1029.0594999999998
61,37.81966666666667,969.1571666666669,1006.9768333333335
62,47.13433333333333,908.7225,955.8568333333333
63,4.6815,26.732833333333332,31.41433333333333
64,56.351333333333336,1028.6826666666668,1085.034
65,46.6785,851.2583333333333,897.9368333333333
66,52.345,679.265,731.61
67,18.721833333333336,66.139,84.86083333333333
68,46.72816666666667,611.0197054730095,657.7478721396761
69,12.327833333333333,25.876999999999995,38.204833333333326
70,3.676,13.743500000000001,17.4195
71,44.2365,603.3373333333334,647.5738333333334
72,8.7445,34.05866666666667,42.80316666666667
73,45.230666666666664,693.460179968701,738.6908466353677
74,40.8895,713.3424166666667,754.2319166666667
75,29.579500000000003,706.8047121369028,736.3842121369029
76,16.043499999999998,36.717000000000006,52.76050000000001
77,5.018666666666667,19.49016666666667,24.50883333333334
78,41.448833333333326,987.3261666666667,1028.775
79,45.39433333333333,981.7193333333333,1027.1136666666666
80,36.585333333333324,967.9140867113267,1004.49942004466
81,26.98433333333334,985.3507798301571,1012.3351131634904
82,57.30283333333333,991.7053333333333,1049.0081666666667
83,2.3798333333333335,48.9725,51.35233333333333
84,10.355,59.97699999999999,70.332
85,45.41116666666667,1004.839,1050.2501666666667
86,41.85333333333334,981.5988333333333,1023.4521666666667
87,52.01716666666667,935.9205000000002,987.9376666666668
88,35.80883333333334,921.6121666666667,957.421
89,43.63966666666667,969.7691666666667,1013.4088333333334
90,2.1048333333333336,7.946500000000001,10.051333333333336
91,2.0555000000000003,13.427166666666668,15.482666666666669
92,2.098333333333333,8.154000000000002,10.252333333333334
93,2.0803333333333334,7.947333333333336,10.027666666666669
